,0,1
232,2017-09-09 23:08:35+00:00,"Don't worry about what I'm doing, worry about why you're worried about me. "
233,2017-09-09 23:08:21+00:00,not everyone is meant to stay in your life. it may hurt to lose someone but in the future you will see the lesson they brought you
234,2017-09-08 19:54:00+00:00,i hope you look at me and realize what you had & what you lost 
235,2017-09-08 19:53:51+00:00,people really think that im gon change the way i am for them like no bih accept me as i am or bye 
236,2017-09-07 17:43:52+00:00,what you did and what you said were two different things. i should've known better. 
237,2017-09-07 17:43:42+00:00,"I may not be your first love, first date or first kiss, but I want to be your last everything. "
238,2017-09-06 18:50:49+00:00,keep ya whole life lowkey and let people assume incorrectly 
239,2017-09-06 18:49:02+00:00,If you got the person you want and they feel the same about you ... your lucky as fuck 
240,2017-09-05 20:46:12+00:00,"the sad part is, once you finally let someone have you, they stop doing what it took to get you"
241,2017-09-05 20:45:36+00:00,has anyone else's life been really off lately or is it just me
242,2017-09-04 18:37:02+00:00,i hate getting close to people cause one day it just all falls apart 
243,2017-09-04 18:35:35+00:00,ʷʰʸ ʷʰʸ ʷʰʸ ʷʰʸ ʷʰʸ ʷʰʸ ʷʰʸ ʷʰʸ why won't no one fall in love with me? ʷʰʸ ʷʰʸ ʷʰʸ
244,2017-09-03 17:39:30+00:00,self reminder: you're still young and you're not supposed to have your whole life figured out yet. don't stress. everything will work out
245,2017-09-03 17:39:16+00:00,maybe happiness isn't meant for me
246,2017-09-02 21:10:54+00:00,Nobody else can make you happy until you're happy with yourself first.
247,2017-09-02 21:10:31+00:00,dont lose a girl that has seen your flaws and still loves you
248,2017-09-01 21:40:50+00:00,I had to realize that I was showing more love then I get back
249,2017-09-01 21:39:30+00:00,i don't worry about what ppl do behind my back..karma handles everything
250,2017-08-31 19:39:52+00:00,"the sad part is, once you finally let someone have you, they stop doing what it took to get you"
251,2017-08-31 19:39:34+00:00,nobody seems to appreciate the love i give
252,2017-08-30 21:28:09+00:00,you kept pushing me away so don't be surprised when i stop caring about you
253,2017-08-30 21:27:49+00:00,"live with no regrets, everything happens for a reason"
254,2017-08-28 19:42:23+00:00,i won't be surprised when the next person hurts me. i'm so used to it now
255,2017-08-28 19:41:55+00:00,"i know that im a nice person, but some people just bring out the worst side of me"
256,2017-08-28 00:24:16+00:00,If you switch up on me for someone else don't hit me up when they switch up on you
257,2017-08-28 00:24:03+00:00,I understand that you don't like me but I need you to understand I don't care
258,2017-08-26 22:32:34+00:00,Sometimes you gotta give up on people. Not because you don't care but because they don't.
259,2017-08-26 22:31:54+00:00,"Keep your head up princess , or your crown will fall off ... "
